Feature	Gain	Cover	Frequency
mtarjeta_master_descuentos	6.90171076701268e-05	0.000905138505366758	0.002
Visa_Finiciomora	6.38005558742492e-05	0.00302173989350748	0.00333333333333333
Master_msaldototal	6.23050957337604e-05	1.44459243205372e-05	0.00133333333333333
cmobile_app_trx	6.18206878554294e-05	1.33198500416535e-05	0.00133333333333333
Master_mconsumospesos	4.88295184102425e-05	0.000439973307535293	0.00133333333333333
cpagodeservicios	4.84332891835077e-05	0.00220430648769035	0.002
mprestamos_prendarios	4.28295658193784e-05	0.000638419769025435	0.002
ctarjeta_master_debitos_automaticos	4.20486404618344e-05	0.00293525738888921	0.00333333333333333
cliente_vip	4.1073074323486e-05	0.00358796221448105	0.00266666666666667
internet	4.10419289050669e-05	0.00240912331224389	0.004
mforex_buy	4.085116709246e-05	0.00294918853639654	0.00266666666666667
Master_Finiciomora	3.73811500851748e-05	0.00219108315830117	0.00266666666666667
mforex_sell	3.64202266055357e-05	0.000650163115076651	0.00266666666666667
Visa_fultimo_cierre	3.62506675957222e-05	0.00161646354056221	0.002
ctarjeta_master_trx	3.3434243107769e-05	0.00101008862815872	0.00133333333333333
ccaja_seguridad	3.26090337244611e-05	0.00430285851381811	0.00266666666666667
Visa_mlimitecompra	3.24141181560089e-05	0.00498870209675996	0.00266666666666667
Master_mlimitecompra	3.17188922548387e-05	0.00196078488149403	0.002
tcallcenter	2.9060040398585e-05	0.000188022231022761	0.000666666666666667
Master_mpagado	2.87799073090182e-05	0.00010173276770944	0.00133333333333333
cforex	2.5049589364778e-05	0.000151086994675374	0.000666666666666667
cseguro_vida	2.24614293318258e-05	0.000150025267498141	0.00133333333333333
ctarjeta_visa	2.22178956083339e-05	0.000474012924308408	0.000666666666666667
tmobile_app	2.04973482156641e-05	0.00050515692150725	0.00266666666666667
thomebanking	1.88970220629366e-05	5.93602012725862e-05	0.00133333333333333
mprestamos_hipotecarios	1.31277915150621e-05	0.000477970271059914	0.000666666666666667
Master_status	1.25805483915444e-05	0.000822999430109894	0.00133333333333333
active_quarter	1.2211609101155e-05	0.000277593396520257	0.000666666666666667
tcuentas	1.18939602169648e-05	0.000133327194619836	0.000666666666666667
ccajas_otras	1.15561499047079e-05	0.00194955631225602	0.000666666666666667
ccheques_depositados	9.52438037074911e-06	0.000180590140782128	0.000666666666666667
cseguro_vivienda	9.1285104817076e-06	0.000542510414015365	0.000666666666666667
cforex_buy	8.21214017881057e-06	0.000111159618101239	0.000666666666666667
mcheques_emitidos	8.04810134752185e-06	0.0042855169699233	0.00133333333333333
cseguro_auto	7.8685917368006e-06	9.23380908684674e-06	0.000666666666666667
ccaja_ahorro	7.51892375038794e-06	0.00155842245487346	0.000666666666666667
minversion2	6.27707335019953e-06	0.00111104923064836	0.000666666666666667
Master_mconsumosdolares	6.0330642675631e-06	0.00252057249230256	0.000666666666666667
mcajeros_propios_descuentos	4.97496366287665e-06	0.000544086918005802	0.000666666666666667
ccajeros_propios_descuentos	4.42147745794541e-06	0.00158303522125477	0.000666666666666667
